TrainDur_min,TimeGap_min,MAE_SBP,SD_SBP,MAE_DBP,SD_DBP,train_n,val_n,test_n,OK
3,0,5.3624,3.0119,2.5903,1.6616,15,3,30,1
3,5,3.0188,3.4695,3.6357,1.8256,15,3,30,1
3,10,11.0429,2.9206,7.6306,1.3346,15,3,30,1
3,15,8.6428,2.8268,5.5938,1.3000,15,3,30,1
5,0,5.3586,3.0959,1.5841,1.4241,24,6,30,1
5,5,6.7339,2.9849,1.2707,1.4654,24,6,30,1
5,10,10.7846,2.7799,7.5807,1.3892,24,6,30,1
5,15,7.1717,2.8112,5.7241,1.3104,24,6,30,1
10,0,4.9189,3.7410,1.6313,1.9337,48,12,30,1
10,5,5.6026,3.1125,1.2556,1.5308,48,12,30,1
10,10,9.2961,2.7933,6.8396,1.3026,48,12,30,1
10,15,7.3038,2.5130,5.5387,1.2446,48,12,30,1
15,0,5.2978,3.4463,1.4961,1.7668,72,18,30,1
15,5,2.4632,3.0895,1.8356,1.4907,72,18,30,1
15,10,8.1342,2.1786,6.0243,1.0967,72,18,30,1
15,15,5.6952,2.5256,4.8013,1.1775,72,18,30,1
